name,Sector,Focus Area,value,type
4Paradigm,Finance & Insurance,Anti-Fraud,145,China
ABEJA,Retail,Analytics,45,Japan
AEye,Auto,Perception,62,United States
Agari Data,Enterprise Tech,Cybersecurity,87,United States
Al Foundation,Media,Fake News Detection,10,United States
Al.Reverie,Enterprise Tech,Training Data,,United States
AiFi,Retail,Checkout-Free Store Tech,4,United States
Anodot,Enterprise Tech,Cybersecurity,28,Israel
Applitools,Enterprise Tech,Software Development,42,United States
App  en,Finance & Insurance,Auditing,53,United States
Area 1Security,Enterprise Tech,Cybersecurity,58,United States
Arraiy,Media,Motion Pictures,14,United States
Arterys,Healthcare,Imaging & Diagnostics,42,United States
Atomw ise,Healthcare,Drug R&D,51,United States
Automa tion Anywhere,Enterprise Tech,Other: RPA,550,United States
Behavox,Finance & Insurance,Behavioral Analytics,21,United Kingdom
Benson Hill Biosystems,Agriculture,Agricultural Biotech,94,United States
BioCatch,Finance & Insurance,Anti-Fraud,47,Israel
BounceX,Enterprise Tech,"Ads,Sales,& Marketing",79,United States
Butterfly Network,Healthcare,Imaging & Diagnostics,350,United States
C3,Industrials,lloT,243,United States
Cerebras Systems,Semiconductor,Data Centers,85,United States
Dataiku,Enterprise Tech,Data Management,147,United States
DataRobot,Enterprise Tech,Data Management,225,United States
DataVisor,Finance & Insurance,Anti-Fraud,SS,United States
DeepMap,Auto,Mapping,92,United States
DeepScale,Auto,Perception,18,United States
DefinedCrowd,Enterprise Tech,Training Data,13,United States
Demisto,Enterprise Tech,Cybersecurity,69,United States
Descartes Labs,Enterprise Tech,Other: Alternative Data,38,United States
Dremio,Enterprise Tech,Data Management,40,United States
Drive.ai,Auto,AV,77,United States
Eigen Technologies,"Legal,Compliance,&  HR",Contract Review,18,United Kingdom
Element Al,Enterprise Tech,Other,106,Canada
Face++,Government,Security,608,China
Falkonry,Industrials,lloT,10,United States
Fortem Technologies,Government,Security,21,United States
FullStory,Enterprise Tech,"Ads,Sales,& Marketing",25,United States
Gamalon,Enterprise Tech,"Ads,Sales, & Marketing",25,United States
Gauss Surgical,Healthcare,Operating Room,45,United States
Gong,Enterprise Tech,"Ads,Sales,& Marketing",28,United States
Graphcore,Semiconductor,Data Centers,310,United Kingdom
H20.ai,Enterprise Tech,Data Management,74,United States
Habana Labs,Semiconductor,Data Centers,120,Israel
Horizon Robotics,Semiconductor,Edge Devices,100,China
Hover,Real estate,3D Modeling,52,United States
HyperScience,Finance & Insurance,Back Office Automation,49,United States
IDx Technologies,Healthcare,Imaging & Diagnostics,43,United States
lnsitro,Healthcare,Drug R&D,,United States
Iris Automation,Auto,Perception,10,United States
Jask Labs,Enterprise Tech,Cybersecurity,39,United States
Kebotix,IndustriaIs,Material Discovery,s,United States
Landing Al,Industrials,Quality Inspection,175,United States
LawGeex,"Legal,Compliance,& HR",Contract Review,22,Israel
LeanTaaS,Healthcare,Administrative,54,United States
mabl,Enterprise Tech,Software Development,30,United States
Machinlfy,Enterprise Tech,Data Management,10,United States
Mapillary,Auto,Mapping,25,Sweden
Medopad,Healthcare,Remote Monitoring,31,United Kingdom
Mighty Al,Enterprise Tech,Training Data,27,United States
Mindstrong Health,Healthcare,Mental Health,60,United States
Mist Systems,Telecom,WLAN,88,United States
Momenta,Auto,Perception,62,China
Mythic,Semiconductor,Edge Devices,59,United States
New Knowledge,Media,Fake News Detection,13,United States
Nexar,Auto,Driver Safety,45,Israel
Niramai,Healthcare,Imaging & Diagnostics,6,India
Nuro,Auto,AV,92,United States
One Concern,Government,Disaster Management,53,United States
Onfido,"Legal,Compliance,&  HR",Onboarding & Compliance,60,United Kingdom
Orbital Insight,Enterprise Tech,Other: Alternative Data,79,United States
OWKIN,Healthcare,Drug R&D,18,United States
PAIGE.Al,Healthcare,Imaging & Diagnostics,25,United States
Perceptive Automata,Auto,Perception,19,United States
PerimeterX,Enterprise Tech,Cybersecurity,35,United States
Pony.ai,Auto,AV,214,United States
PROWLER.io,Enterprise Tech,Other: RL Platform,15,United Kingdom
Qventus,Healthcare,Administrative,44,United States
Sense Labs,Industrials,Energy Disaggregation,39,United States
SenseTime,Government,Security,"1,630",China
Shape Security,Enterprise Tech,Cybersecurity,132,United States
Shield Al,Government,Security,23,United States
Sift,Retail,Anti-Fraud,107,United States
Signifyd,Retail,Anti-Fraud,206,United States
SigOpt,Enterprise Tech,Data Management,9,United States
Skyline Al,Real estate,Asset Management,25,United States
SparkCognition,Enterprise Tech,Other,68,United States
Syntiant,Semiconductor,Edge Devices,30,United States
Tamr,Enterprise Tech,Data Management,69,United States
Taranis,Agriculture,Crop Monitoring,30,Israel
Textio,"Legal,Compliance,&   HR",Augmented Writing,30,United States
Thinci,Semiconductor,Edge Devices,65,United States
Trifacta,Enterprise Tech,Data Management,124,United States
TwentyBN,Retail,Al Assistant,13,Germany
UiPath,Enterprise Tech,Other: RPA,448,United States
Unbabel,Enterprise Tech,"Ads,Sales, & Marketing",31,United States
Vectra Networks,Enterprise Tech,Cybersecurity,122,United States
Viz.ai,Healthcare,Imaging & Diagnostics,29,United States
YITU Technology,Government,Security,355,China
100  Zymergen,Industrials,Material Discovery,574,United States
,,,,
